Estacion:, El Trapiche,Dpto: Antioquia,Latitud  :,5°,48',N
Año:, 2006,Mpio: Bolívar,Longitud:,76°,1',W
"",,Altitud:,1277,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
Promedio:,16.7 23.2 19.3,85.9,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Diciembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.5 25.2 20.0,86.0,0.0 0.0 0.0,3.2
2,17.3 23.7 20.1,84.0,0.2 0.0 0.2,1.2
3,17.0 23.8 19.7,87.0,0.1 0.0 0.1,2.5
4,17.2 22.7 19.6,88.0,0.6 0.0 0.6,0.4
5,17.4 22.3 19.4,89.7,0.2 0.0 0.2,0.8
6,16.5 22.7 19.3,89.0,0.0 0.0 0.0,0.5
7,17.2 23.8 20.2,80.0,0.0 0.0 0.0,2.7
8,16.9 24.8 20.1,83.3,0.0 0.0 0.0,3.6
9,16.8 22.7 19.2,86.3,0.0 0.0 0.0,2.3
10,16.9 23.9 19.4,85.7,0.0 0.0 0.0,3.6
11,16.5 24.4 19.6,84.0,0.6 0.0 0.6,3.2
12,17.3 20.5 18.5,92.0,0.3 0.0 0.3,0.0
13,17.1 23.1 18.4,90.3,1.3 2.9 4.2,0.7
14,16.8 21.0 18.8,88.7,0.0 0.0 0.0,0.5
15,17.0 23.5 19.5,89.3,0.0 0.0 0.0,1.7
16,17.2 23.9 20.0,85.0,0.0 0.0 0.0,4.1
17,16.4 24.0 19.9,78.7,0.0 0.0 0.0,4.4
18,17.0 24.6 20.0,80.3,0.0 0.0 0.0,5.0
19,16.5 23.9 19.7,81.3,0.0 0.0 0.0,4.3
20,17.5 23.3 19.5,84.0,0.0 0.0 0.0,2.4
21,17.4 23.7 20.0,85.7,0.0 0.0 0.0,2.0
22,16.6 23.1 19.7,79.3,0.0 0.0 0.0,2.8
23,17.8 23.6 19.9,76.7,0.0 0.0 0.0,0.2
24,17.4 24.2 20.0,79.0,0.0 0.0 0.0,2.1
25,17.3 24.5 20.0,86.0,0.8 0.0 0.8,0.9
26,17.5 22.5 19.3,90.3,0.0 0.0 0.0,1.8
27,17.0 22.2 18.8,91.3,0.0 0.0 0.0,0.7
28,16.7 24.4 19.5,89.7,0.0 0.0 0.0,1.7
29,17.2 25.7 20.6,80.3,0.0 0.0 0.0,4.7
30,17.7 26.3 20.8,77.7,0.0 0.0 0.0,4.6
31,18.3 25.7 20.4,84.0,0.0 0.0 0.0,6.2
Total:,,,4.1 2.9 7.0,74.8
Promedio:,17.1 23.7 19.7,84.9,,
Estacion:, El Roble,Dpto: Santander,Latitud  :,6°,52',N
Año:, 2006,Mpio: Los Santos,Longitud:,73°,3',W
"",,Altitud:,1646,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,9.5 23.9 16.6,81.0,0.0 0.0 0.0,6.4
2,11.5 25.0 17.0,81.3,0.0 3.4 3.4,7.9
3,14.3 24.0 17.6,86.0,0.0 0.4 0.4,4.3
4,13.8 22.0 17.2,91.0,0.0 35.0 35.0,3.7
5,15.0 18.5 16.1,95.3,11.1 0.0 11.1,3.7
6,14.9 22.1 17.2,87.7,0.0 2.7 2.7,0.0
7,15.0 21.6 17.4,89.3,0.0 0.0 0.0,2.6
8,15.6 22.4 18.5,85.3,0.0 0.0 0.0,3.5
9,15.4 24.7 19.0,82.7,0.0 0.0 0.0,7.3
10,13.0 24.5 18.0,84.0,0.0 0.0 0.0,5.2
11,12.0 25.5 18.7,82.7,0.0 0.0 0.0,6.6
12,13.7 24.4 18.6,83.3,0.0 0.0 0.0,7.4
13,13.8 25.3 18.8,85.3,0.0 0.0 0.0,6.6
14,15.0 25.2 18.6,85.3,0.0 0.0 0.0,8.2
15,14.6 23.5 19.1,87.7,0.0 0.0 0.0,3.6
16,14.4 25.2 19.0,84.0,0.0 0.0 0.0,5.5
17,13.5 25.0 18.6,84.3,0.0 0.0 0.0,6.3
18,14.7 24.2 18.6,86.3,0.0 0.0 0.0,6.0
19,12.0 24.2 17.4,82.3,0.0 0.0 0.0,9.7
20,10.3 23.8 17.4,83.3,0.0 0.0 0.0,7.2
21,12.3 26.8 18.7,77.0,0.0 0.0 0.0,9.3
22,10.3 25.4 18.7,76.7,0.0 0.0 0.0,8.7
23,12.5 25.9 19.2,81.7,0.0 0.0 0.0,8.9
24,14.4 25.8 19.2,86.0,0.0 0.0 0.0,6.3
25,15.2 26.8 20.0,82.7,0.0 0.0 0.0,8.0
26,15.0 26.7 19.6,85.3,0.0 0.0 0.0,7.3
27,15.5 24.9 19.6,89.7,0.0 21.0 21.0,1.4
28,16.5 24.6 19.4,87.3,0.0 1.0 1.0,7.3
29,16.4 25.4 19.2,84.7,0.0 0.0 0.0,3.3
30,13.5 25.5 19.9,83.7,0.0 0.2 0.2,7.8
31,15.0 25.5 20.0,84.7,0.0 0.1 0.1,7.5
Total:,,,11.1 63.8 74.9,187.5
Promedio:,13.8 24.5 18.5,84.8,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Febrero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.7 24.8 19.2,88.3,0.0 0.0 0.0,3.5
2,15.6 25.0 19.8,86.3,0.0 0.0 0.0,3.7
3,16.8 25.4 20.0,84.3,0.1 15.4 15.5,4.5
4,16.7 23.3 18.7,88.7,0.0 0.0 0.0,3.1
5,15.0 23.8 18.6,89.3,0.9 0.2 1.1,6.4
6,15.2 24.3 18.4,89.7,0.0 0.0 0.0,7.5
7,15.3 24.6 18.8,83.7,0.0 8.9 8.9,8.4
8,14.7 24.6 19.0,84.3,0.0 0.0 0.0,8.2
9,14.6 24.7 18.6,85.7,0.0 0.0 0.0,6.6
10,16.0 24.3 19.2,86.0,0.0 0.0 0.0,5.0
11,15.1 25.6 19.5,85.0,0.0 0.0 0.0,8.1
12,17.5 26.0 20.1,85.3,0.0 62.6 62.6,7.4
13,16.7 24.0 19.1,87.3,0.0 0.0 0.0,7.4
14,13.0 24.4 17.7,84.7,0.0 0.0 0.0,10.1
15,12.0 24.7 19.3,80.0,0.0 0.0 0.0,10.7
16,13.5 26.3 19.5,79.7,0.0 0.0 0.0,10.2
17,15.6 25.8 19.1,78.7,0.0 0.0 0.0,7.0
18,15.9 25.6 19.5,84.0,0.0 0.0 0.0,7.5
19,15.2 25.4 20.0,83.0,0.0 0.0 0.0,8.5
20,13.8 26.3 19.3,77.3,0.0 0.0 0.0,9.9
21,11.1 25.4 19.0,78.7,0.0 0.0 0.0,9.4
22,11.7 25.9 18.6,80.7,0.0 0.0 0.0,10.3
23,11.8 26.1 19.1,78.7,0.0 0.0 0.0,9.1
24,13.8 27.9 19.9,78.3,0.0 0.0 0.0,9.1
25,14.5 26.0 19.8,79.0,0.0 0.0 0.0,9.3
26,13.2 26.5 19.8,80.0,0.0 11.9 11.9,8.9
27,15.8 22.8 18.2,87.7,0.0 0.0 0.0,0.9
28,15.5 23.5 18.8,86.7,0.0 0.0 0.0,6.1
29,,,,
30,,,,
31,,,,
Total:,,,1.0 99.0 100.0,206.8
Promedio:,14.7 25.1 19.2,83.6,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Marzo,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,12.6 26.6 19.4,81.7,0.0 0.0 0.0,9.8
2,16.0 25.8 20.0,83.0,0.0 8.7 8.7,8.7
3,16.5 25.0 20.3,86.0,0.0 0.0 0.0,6.3
4,16.0 25.4 19.8,86.7,0.0 0.0 0.0,6.2
5,15.4 25.2 20.0,85.3,0.0 0.0 0.0,7.3
6,11.4 22.8 18.6,91.3,1.1 9.3 10.4,0.0
7,16.5 22.5 18.1,90.3,3.0 0.9 3.9,1.0
8,15.6 22.1 18.1,88.3,1.4 4.0 5.4,1.3
9,16.5 20.8 17.4,94.3,5.4 0.0 5.4,0.1
10,15.0 24.8 18.5,84.0,0.0 0.0 0.0,3.4
11,13.1 24.2 19.1,87.7,1.5 5.4 6.9,6.9
12,15.4 25.0 19.2,83.7,0.0 4.1 4.1,5.0
13,16.4 24.7 19.2,83.7,0.0 0.0 0.0,6.4
14,16.0 25.6 19.2,83.0,0.0 3.5 3.5,5.2
15,16.1 23.8 18.3,86.0,0.0 0.0 0.0,1.3
16,15.0 24.3 18.7,84.3,0.0 0.0 0.0,3.6
17,16.2 24.6 18.0,87.0,6.5 2.6 9.1,2.5
18,14.8 24.8 19.2,84.7,16.7 0.1 16.8,5.4
19,14.3 25.4 20.0,81.0,0.0 0.0 0.0,6.5
20,16.4 23.8 19.2,84.7,0.0 0.0 0.0,2.3
21,13.4 24.8 19.2,84.7,0.0 0.0 0.0,5.2
22,15.3 24.0 18.6,89.3,0.3 0.2 0.5,2.4
23,15.8 25.8 19.4,82.7,0.0 0.9 0.9,6.4
24,14.8 25.3 19.1,83.7,0.1 1.3 1.4,4.0
25,16.0 22.8 18.4,92.7,3.3 1.8 5.1,0.9
26,15.2 22.3 18.0,93.7,1.2 0.0 1.2,1.5
27,14.7 24.0 18.8,86.0,4.2 0.2 4.4,5.4
28,15.5 25.9 20.0,84.0,0.0 0.0 0.0,6.0
29,15.1 25.8 20.4,82.0,0.0 0.0 0.0,9.0
30,15.2 25.9 20.3,85.0,0.0 0.0 0.0,7.8
31,16.0 24.7 20.0,86.0,0.0 0.0 0.0,6.5
Total:,,,44.7 43.0 87.7,144.3
Promedio:,15.2 24.5 19.1,86.0,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Abril,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,14.1 24.6 19.6,87.3,0.0 0.0 0.0,7.3
2,16.7 23.3 19.2,87.0,0.3 0.0 0.3,4.2
3,14.5 24.3 19.4,86.7,0.0 11.6 11.6,6.5
4,16.0 24.0 18.4,88.7,28.9 7.9 36.8,5.1
5,15.9 23.5 19.0,85.0,0.0 2.9 2.9,4.5
6,15.6 24.0 18.4,87.7,1.2 4.8 6.0,4.0
7,13.6 21.5 17.8,87.3,0.0 0.0 0.0,0.3
8,14.2 23.8 18.6,87.0,0.0 0.0 0.0,3.6
9,13.6 25.2 19.2,85.3,0.0 0.0 0.0,8.0
10,12.5 24.5 18.5,85.7,0.0 0.0 0.0,9.0
11,15.6 25.0 19.1,87.3,0.0 0.0 0.0,4.8
12,14.3 21.4 17.4,92.3,4.0 0.8 4.8,0.3
13,15.5 21.9 17.7,88.3,0.5 5.0 5.5,1.5
14,15.2 21.9 17.4,87.3,7.5 0.0 7.5,1.0
15,13.6 23.0 18.0,88.3,0.0 0.0 0.0,4.2
16,14.8 23.9 18.9,87.0,0.0 0.0 0.0,4.1
17,14.3 24.9 19.5,86.3,1.8 0.0 1.8,4.2
18,16.8 23.7 19.4,87.7,0.0 1.6 1.6,2.3
19,15.1 27.6 19.9,81.7,0.0 0.0 0.0,6.2
20,15.5 25.4 20.2,84.7,0.0 0.0 0.0,8.7
21,15.0 26.3 20.2,83.3,0.0 0.0 0.0,5.0
22,13.0 27.6 21.1,79.0,0.0 4.5 4.5,9.4
23,15.1 25.9 19.9,83.0,0.0 0.0 0.0,1.4
24,17.0 24.6 19.8,88.7,0.3 1.1 1.4,3.6
25,16.2 25.3 19.4,88.0,0.0 0.0 0.0,3.2
26,16.8 23.4 18.7,87.0,0.0 5.5 5.5,0.5
27,15.7 26.3 19.9,81.0,0.0 0.0 0.0,6.7
28,14.2 24.0 19.1,86.7,0.0 0.0 0.0,3.0
29,13.3 25.8 18.8,86.3,0.0 0.0 0.0,6.3
30,15.7 21.8 17.8,89.3,0.0 0.0 0.0,0.0
31,,,,
Total:,,,44.5 45.7 90.2,128.9
Promedio:,15.0 24.3 19.0,86.4,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Mayo,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.3 26.0 20.2,83.3,0.0 5.3 5.3,5.4
2,16.4 25.0 19.9,84.0,0.0 0.0 0.0,3.3
3,15.8 25.8 20.0,86.7,0.0 0.0 0.0,5.5
4,16.8 25.4 19.7,89.7,1.0 3.5 4.5,4.0
5,16.2 23.5 19.6,87.3,0.0 4.0 4.0,3.1
6,16.0 25.4 19.2,87.0,0.0 0.0 0.0,4.5
7,16.5 24.2 19.4,84.3,2.4 0.1 2.5,5.3
8,15.6 24.3 18.9,91.3,0.0 6.5 6.5,4.6
9,15.5 24.4 19.5,89.0,0.5 3.0 3.5,4.6
10,16.1 23.0 19.4,86.0,34.0 22.0 56.0,0.1
11,15.0 24.1 18.2,83.0,15.2 7.7 22.9,6.8
12,15.4 24.0 19.3,86.7,0.0 0.0 0.0,7.1
13,15.2 24.5 20.0,85.7,0.0 10.1 10.1,8.3
14,15.0 25.9 20.0,87.0,0.0 0.0 0.0,8.8
15,16.0 24.5 19.8,89.0,1.7 0.0 1.7,5.1
16,16.2 24.3 19.3,88.7,1.4 1.5 2.9,5.9
17,16.6 22.4 18.7,88.7,0.8 12.8 13.6,2.0
18,15.6 24.5 19.3,85.3,0.0 0.0 0.0,0.3
19,15.4 24.0 18.2,92.0,0.0 0.0 0.0,1.2
20,13.0 24.4 19.6,83.0,0.0 0.0 0.0,9.7
21,14.9 25.2 21.0,80.7,0.0 0.0 0.0,9.2
22,14.2 26.0 20.5,82.0,0.0 0.0 0.0,10.3
23,13.3 25.3 19.8,82.0,0.0 0.0 0.0,8.7
24,13.8 25.2 20.1,85.3,0.0 0.2 0.2,8.9
25,15.8 25.0 20.2,85.0,0.0 0.0 0.0,6.8
26,14.3 25.4 20.4,86.7,0.0 0.0 0.0,8.3
27,16.4 23.6 19.0,89.0,0.2 0.0 0.2,2.3
28,15.9 24.8 20.1,84.7,0.0 0.0 0.0,4.5
29,15.5 23.8 19.5,85.7,6.5 0.9 7.4,1.3
30,15.4 26.3 20.4,83.7,0.0 0.0 0.0,8.0
31,16.3 26.0 20.2,84.7,0.0 0.8 0.8,5.4
Total:,,,63.7 78.4 142.1,169.3
Promedio:,15.5 24.7 19.7,86.0,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Junio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.2 23.3 18.8,92.0,2.2 0.1 2.3,0.8
2,16.7 23.5 19.0,88.7,1.9 0.1 2.0,3.7
3,15.5 23.6 19.4,87.3,1.9 0.0 1.9,1.2
4,16.3 24.4 19.2,87.3,1.5 43.5 45.0,5.1
5,16.5 24.2 18.8,87.7,5.2 0.5 5.7,4.0
6,15.8 21.3 17.6,91.7,0.9 1.1 2.0,1.5
7,15.4 22.9 17.6,89.7,2.5 0.8 3.3,3.4
8,15.5 21.0 18.2,89.3,1.4 0.5 1.9,0.0
9,16.0 23.2 19.4,88.3,2.0 5.5 7.5,3.7
10,15.4 23.8 19.2,85.7,6.2 0.2 6.4,6.4
11,15.2 23.5 18.6,92.7,0.2 0.7 0.9,3.3
12,15.4 25.8 19.7,82.3,0.0 0.0 0.0,9.9
13,14.5 24.9 19.4,86.3,0.0 0.2 0.2,5.0
14,14.9 20.7 17.0,93.7,7.5 0.1 7.6,0.3
15,15.0 24.0 18.9,88.3,0.0 0.4 0.4,7.6
16,15.3 25.3 19.8,84.7,0.0 0.0 0.0,6.7
17,13.9 24.8 18.7,89.3,1.6 0.0 1.6,4.6
18,15.0 25.6 19.8,84.7,0.0 3.5 3.5,3.4
19,14.6 25.8 19.6,84.7,0.0 0.0 0.0,7.8
20,14.7 25.0 19.6,82.0,0.0 2.0 2.0,5.4
21,14.2 21.3 17.8,92.7,3.0 0.0 3.0,0.6
22,13.6 25.3 19.3,83.7,0.0 0.0 0.0,8.2
23,13.1 25.8 20.2,83.3,2.0 1.9 3.9,6.8
24,16.5 25.4 19.8,85.0,0.0 0.0 0.0,4.7
25,16.0 25.3 19.8,84.7,0.0 0.0 0.0,3.5
26,15.3 25.6 20.4,83.7,0.0 0.5 0.5,8.0
27,14.5 25.8 19.4,86.7,1.3 3.3 4.6,6.5
28,15.0 26.4 20.1,82.7,0.0 0.0 0.0,5.8
29,15.0 26.3 20.4,80.0,0.0 0.0 0.0,4.8
30,14.0 26.6 20.9,84.0,0.0 0.0 0.0,10.1
31,,,,
Total:,,,41.3 64.9 106.2,142.8
Promedio:,15.2 24.3 19.2,86.8,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Julio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,14.7 26.5 21.1,83.3,0.0 0.0 0.0,9.3
2,14.8 26.0 21.3,85.7,0.0 0.0 0.0,6.5
3,14.9 26.5 19.8,90.3,0.0 0.0 0.0,0.5
4,15.0 25.5 19.5,87.0,3.5 0.0 3.5,2.8
5,14.5 24.8 19.2,83.7,0.0 0.0 0.0,5.1
6,14.2 25.4 19.6,84.3,0.0 0.0 0.0,5.2
7,15.9 24.4 19.2,86.7,0.0 1.5 1.5,4.2
8,14.2 25.5 19.6,84.0,0.0 0.0 0.0,6.8
9,14.4 25.2 19.8,83.3,0.0 0.0 0.0,5.9
10,14.3 24.8 19.8,86.0,0.0 0.0 0.0,6.9
11,15.5 25.8 20.3,82.0,0.0 0.0 0.0,8.2
12,15.1 26.5 20.6,82.3,0.3 1.4 1.7,6.9
13,14.2 25.8 19.8,86.0,0.0 0.0 0.0,5.1
14,14.0 24.6 18.8,89.0,0.0 0.0 0.0,4.4
15,14.6 25.0 20.3,82.3,0.0 8.0 8.0,7.2
16,14.9 23.5 18.8,89.7,0.0 0.0 0.0,2.3
17,13.6 25.2 18.6,85.3,0.7 0.0 0.7,4.5
18,14.6 24.3 18.9,88.3,0.8 1.0 1.8,4.8
19,14.4 23.8 18.3,95.7,0.0 6.0 6.0,5.0
20,15.9 24.2 19.3,87.7,0.0 0.0 0.0,5.0
21,14.4 25.5 20.1,84.0,0.0 0.0 0.0,6.8
22,15.6 24.5 18.5,88.3,0.0 0.0 0.0,1.9
23,13.5 24.6 19.1,84.7,0.0 0.0 0.0,5.6
24,13.3 24.6 19.5,83.7,0.0 0.0 0.0,6.8
25,12.2 24.8 18.8,85.0,0.0 0.0 0.0,3.9
26,12.8 25.2 19.4,82.0,0.0 0.0 0.0,5.0
27,15.1 21.0 18.0,89.0,0.0 1.0 1.0,1.8
28,14.8 19.3 16.5,94.7,0.0 0.0 0.0,0.0
29,13.8 23.5 17.8,85.3,2.5 0.0 2.5,5.0
30,12.8 25.6 19.6,83.0,1.3 0.4 1.7,8.5
31,14.8 25.8 19.6,82.7,0.0 0.0 0.0,7.3
Total:,,,9.1 19.3 28.4,159.2
Promedio:,14.4 24.8 19.3,86.0,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Agosto,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,14.0 26.2 20.3,83.3,0.0 2.2 2.2,8.1
2,14.6 25.8 20.4,79.3,0.0 0.0 0.0,9.4
3,13.7 24.6 19.3,80.0,0.0 0.0 0.0,6.3
4,14.8 25.5 18.8,85.7,3.4 0.0 3.4,7.5
5,13.0 25.8 19.8,79.0,0.0 0.0 0.0,8.4
6,13.5 26.0 20.1,84.7,0.0 0.0 0.0,6.8
7,15.4 24.3 19.3,85.0,0.0 0.0 0.0,2.9
8,14.3 25.9 19.3,84.3,0.0 0.0 0.0,6.1
9,14.4 25.4 19.7,76.0,0.0 0.0 0.0,3.6
10,12.8 28.9 20.8,76.3,0.0 0.0 0.0,9.7
11,13.0 27.1 19.2,83.0,0.0 0.0 0.0,2.9
12,12.4 26.0 19.3,80.0,0.0 0.0 0.0,5.9
13,12.5 27.0 20.1,76.7,0.0 0.0 0.0,9.3
14,13.8 27.3 21.0,78.3,0.0 4.0 4.0,7.7
15,14.0 27.5 20.2,80.7,0.0 0.0 0.0,7.4
16,14.4 25.8 19.6,85.0,0.6 0.0 0.6,2.9
17,15.4 25.4 19.3,83.7,0.0 4.6 4.6,3.9
18,15.6 21.5 18.2,93.0,3.5 2.1 5.6,0.4
19,15.8 25.0 18.7,87.3,6.5 0.0 6.5,4.7
20,13.2 27.4 20.1,80.0,0.0 10.5 10.5,6.4
21,13.5 24.8 19.0,87.3,0.4 0.0 0.4,7.3
22,14.5 25.0 20.0,84.0,0.0 0.0 0.0,6.3
23,14.4 26.8 20.2,80.7,0.0 3.9 3.9,7.9
24,15.8 23.9 18.0,87.3,1.7 22.1 23.8,2.0
25,14.5 23.5 19.0,87.3,2.5 29.1 31.6,6.1
26,15.8 25.0 19.0,82.7,0.0 2.0 2.0,4.4
27,15.2 23.6 18.6,89.3,0.0 0.0 0.0,7.1
28,14.2 26.5 19.6,85.3,0.3 7.5 7.8,6.1
29,15.9 27.2 20.7,80.3,0.4 0.0 0.4,5.8
30,13.4 23.7 19.3,85.7,0.0 0.5 0.5,3.6
31,15.2 27.2 20.3,80.3,0.0 0.0 0.0,7.2
Total:,,,19.3 88.5 107.8,184.1
Promedio:,14.3 25.7 19.6,83.0,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Septiembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.2 25.0 19.0,88.0,1.6 0.0 1.6,3.8
2,13.2 25.6 19.6,84.3,0.0 0.0 0.0,8.9
3,13.0 25.5 19.4,83.7,0.0 0.0 0.0,8.1
4,12.5 24.2 18.7,87.0,0.0 0.0 0.0,6.2
5,14.5 25.9 19.8,85.0,0.4 8.5 8.9,6.0
6,14.9 27.3 19.5,81.0,0.0 6.0 6.0,5.8
7,15.4 24.5 19.4,85.3,0.0 9.4 9.4,3.7
8,14.8 24.4 19.4,85.0,0.6 0.2 0.8,5.1
9,15.0 25.6 19.5,84.3,0.0 0.0 0.0,7.0
10,13.6 25.2 20.2,84.0,0.0 0.0 0.0,9.0
11,14.5 25.5 19.4,84.0,0.0 0.0 0.0,8.1
12,14.4 24.8 19.0,85.0,0.0 0.0 0.0,5.2
13,16.0 24.7 19.1,87.0,0.3 0.2 0.5,4.4
14,15.2 25.9 20.1,83.3,0.0 0.0 0.0,2.5
15,15.2 25.2 19.2,84.7,0.0 0.0 0.0,6.6
16,13.6 23.1 17.6,91.3,1.6 0.0 1.6,2.2
17,12.0 25.6 19.1,84.3,0.2 0.3 0.5,7.3
18,15.5 24.3 18.6,87.0,59.5 2.0 61.5,5.3
19,14.8 25.6 19.8,81.0,0.5 0.0 0.5,6.1
20,15.0 25.4 20.0,84.3,0.0 0.3 0.3,8.4
21,14.2 26.5 19.0,83.0,2.0 0.0 2.0,7.5
22,13.8 26.0 19.9,81.7,0.0 0.0 0.0,7.8
23,14.0 26.2 20.5,81.7,0.0 0.0 0.0,8.7
24,13.5 27.0 20.2,73.3,0.0 1.9 1.9,8.8
25,12.7 25.9 19.8,79.7,0.1 5.9 6.0,8.9
26,15.0 26.7 20.5,81.0,0.0 0.0 0.0,8.5
27,13.2 27.3 20.4,83.0,0.0 0.0 0.0,9.7
28,13.8 26.4 20.6,83.0,0.0 0.0 0.0,8.4
29,14.8 26.7 19.8,88.0,0.3 0.0 0.3,5.9
30,15.6 26.8 20.2,80.3,0.0 0.0 0.0,4.0
31,,,,
Total:,,,67.1 34.7 101.8,197.9
Promedio:,14.3 25.6 19.6,83.8,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Octubre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.0 25.0 19.3,87.0,0.0 0.0 0.0,5.3
2,15.7 26.4 19.8,82.0,0.0 1.1 1.1,4.3
3,15.0 26.5 19.5,84.7,0.1 8.8 8.9,5.6
4,16.2 24.8 18.6,87.3,0.0 1.2 1.2,4.9
5,13.6 26.3 20.2,85.0,0.0 0.0 0.0,8.9
6,13.7 27.0 21.0,86.0,0.0 0.0 0.0,6.4
7,15.6 25.6 19.9,88.7,0.0 0.0 0.0,4.4
8,14.0 25.0 19.6,82.7,0.0 0.0 0.0,0.5
9,15.0 25.6 19.5,85.0,0.5 0.0 0.5,3.7
10,16.2 28.5 20.5,81.3,0.0 17.9 17.9,6.4
11,15.7 24.3 19.6,88.3,0.0 0.9 0.9,6.8
12,16.0 26.0 20.0,83.0,0.0 27.8 27.8,7.6
13,16.2 22.9 18.2,86.0,0.0 2.3 2.3,1.0
14,14.5 23.7 18.8,89.0,0.0 7.5 7.5,4.7
15,16.0 22.8 18.4,89.7,0.2 19.8 20.0,3.4
16,16.6 22.5 18.0,92.7,6.9 2.4 9.3,3.1
17,15.4 22.1 17.2,88.3,5.8 0.0 5.8,5.0
18,13.8 24.0 18.4,85.7,0.0 0.6 0.6,0.0
19,14.0 23.8 18.3,88.0,6.7 5.4 12.1,3.3
20,14.8 23.3 18.0,88.0,0.0 0.0 0.0,3.8
21,15.0 24.5 19.3,84.0,0.0 13.9 13.9,5.6
22,16.1 23.2 18.6,91.3,0.0 0.0 0.0,3.8
23,16.2 23.8 19.3,89.7,3.9 0.0 3.9,3.3
24,14.2 26.5 20.0,81.0,0.0 0.0 0.0,8.5
25,15.1 27.5 20.8,83.0,0.0 0.0 0.0,8.4
26,16.0 25.4 19.9,87.3,0.0 0.0 0.0,5.3
27,15.6 25.4 19.9,86.0,0.9 0.4 1.3,6.3
28,16.0 24.3 20.0,87.7,0.0 0.8 0.8,2.6
29,15.4 24.8 19.8,86.0,0.1 0.8 0.9,6.4
30,16.0 25.2 19.0,88.3,0.5 0.5 1.0,8.0
31,15.8 24.5 18.9,86.3,0.0 0.0 0.0,6.3
Total:,,,25.6 112.1 137.7,153.6
Promedio:,15.3 24.9 19.3,86.4,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Noviembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,14.6 24.4 19.1,89.0,0.0 0.0 0.0,7.9
2,15.8 24.0 19.3,86.7,0.0 0.0 0.0,8.9
3,13.4 24.7 18.8,87.3,0.0 0.0 0.0,9.2
4,14.6 25.0 19.5,87.0,0.0 0.0 0.0,9.1
5,13.2 25.0 19.6,87.3,23.2 2.9 26.1,5.3
6,14.2 25.8 19.5,89.3,0.0 0.0 0.0,5.5
7,16.2 24.5 19.6,85.0,0.0 1.5 1.5,5.3
8,15.5 23.4 18.7,88.0,0.0 0.3 0.3,3.8
9,15.2 23.5 18.6,88.7,0.1 0.0 0.1,3.7
10,15.4 24.5 18.6,89.3,0.0 0.0 0.0,3.6
11,14.4 24.2 19.3,89.0,0.0 0.0 0.0,5.1
12,15.5 23.4 18.7,87.7,0.0 0.0 0.0,3.4
13,15.4 23.8 19.1,88.0,0.3 3.2 3.5,4.3
14,15.6 24.4 18.2,90.3,1.4 0.7 2.1,2.3
15,15.6 22.3 18.2,83.0,0.5 22.7 23.2,1.0
16,15.6 22.8 18.6,88.0,4.7 0.0 4.7,3.2
17,14.3 23.2 18.0,89.0,0.0 0.0 0.0,5.2
18,13.4 23.8 19.2,85.7,0.2 8.7 8.9,4.5
19,14.0 25.5 19.5,81.3,0.0 0.0 0.0,7.2
20,14.5 26.3 20.2,83.7,0.2 4.6 4.8,7.9
21,15.4 23.2 18.7,87.3,0.0 1.0 1.0,5.6
22,15.2 24.0 19.2,86.3,0.0 0.0 0.0,7.9
23,15.6 24.8 19.1,90.0,0.0 0.0 0.0,7.4
24,15.9 23.9 19.4,88.3,0.0 1.0 1.0,8.0
25,15.6 23.6 19.2,89.0,0.0 1.3 1.3,6.3
26,16.4 25.6 19.4,87.7,0.0 0.0 0.0,7.2
27,15.0 25.0 20.1,85.0,0.0 0.0 0.0,7.2
28,14.8 24.0 19.2,86.3,0.0 0.0 0.0,4.4
